stage_id,lead_id,stage_name,stage_date,stage_order
1849eac1-41f6-47b1-8778-383a80e824db,002ce5fb-d808-451a-b709-638cbb8550d2,Contacted,2024-04-17,2.0
a3a4fdfb-d306-4091-bcb7-7a566a2636cb,002ce5fb-d808-451a-b709-638cbb8550d2,Qualified,2024-04-26,3.0
14027d65-5d48-41df-adc8-94d6f9790c44,002ce5fb-d808-451a-b709-638cbb8550d2,demo scheduled,2024-04-18,4.0
51c84aae-07db-4963-85ec-3ce92563183c,002ce5fb-d808-451a-b709-638cbb8550d2,Proposal Sent,2024-04-26,5.0
d1f5c519-5511-4a69-9bf1-bc3a1adf32b5,53b14edc-b37f-4f74-afbe-46a4ef7a7c2e,Contacted,2024-05-18,2.0
67e0eb4f-e0dd-4109-a223-7190bd02a952,53b14edc-b37f-4f74-afbe-46a4ef7a7c2e,Qualified,2024-05-24,3.0
e403cecc-0792-4670-ba3a-b24b53c915fc,8d2d1774-db4f-4dc1-bc00-a9726ec8f9d8,Contacted,2024-05-05,2.0
d3bc656d-70c5-49ae-8650-82621d1c2760,8d2d1774-db4f-4dc1-bc00-a9726ec8f9d8,Qualified,2024-05-21,3.0
a165bb1e-abb1-4d7d-9471-d857f55557d5,8d2d1774-db4f-4dc1-bc00-a9726ec8f9d8,Demo Scheduled,2024-05-27,4.0
f85ee876-1302-4da6-94ba-889f6b574875,8d2d1774-db4f-4dc1-bc00-a9726ec8f9d8,Proposal Sent,2024-05-08,5.0
23c60e01-ea42-4088-8954-ae333337eb0e,8d2d1774-db4f-4dc1-bc00-a9726ec8f9d8,Closed Won,2024-09-02,6.0
ef2f55b6-76dc-4221-a7bd-11f279e39c0b,111e6929-f1a3-4dbf-81c4-6934ae1946a0,Contacted,2024-02-27,2.0
8a440486-d9e8-4760-9ff1-e07eb35a5504,111e6929-f1a3-4dbf-81c4-6934ae1946a0,Qualified,2024-03-16,99.0
e1770727-7b93-4c0d-856b-58e356ccc199,111e6929-f1a3-4dbf-81c4-6934ae1946a0,Demo Scheduled,2024-03-09,4.0
6307db54-990d-4f77-a2b6-b63ec41c0e57,e2795db2-d70b-4cd8-8068-42d757f7b86c,Contacted,2024-03-19,2.0
f4555d63-0c5b-4678-87b2-da10da29a8f3,e2795db2-d70b-4cd8-8068-42d757f7b86c,Qualified,2024-03-15,3.0
143b24eb-6bcb-4ac4-90c6-75aa48760a00,966f7083-36da-4c10-880a-de3ee40354dd,Contacted,2024-05-15,2.0
e8ad1175-5ac4-4d39-bc86-b57be448573e,966f7083-36da-4c10-880a-de3ee40354dd,Qualified,2025-01-30,3.0
d7639843-095d-4e8d-895a-d99dd208d912,966f7083-36da-4c10-880a-de3ee40354dd,Demo Scheduled,2024-05-13,4.0
e651c3bb-8d91-4bb2-8323-11fa627a05db,b4680475-e37a-4291-8b11-12907f7f44c2,Contacted,2024-01-28,2.0
20ff95e9-9fa1-4394-98ee-624a1d7471ef,b4680475-e37a-4291-8b11-12907f7f44c2,Qualified,2024-01-27,3.0
